country,population_1996,population_2025,change_1996_2025
India,80470,971020,890550
England,956680,970950,14270
China,118640,731540,612900
New Zealand,312240,637680,325440
Philippines,104820,412530,307710
Vietnam,158740,326630,167890
South Africa,61810,229950,168140
Nepal,1410,213580,212170
Sri Lanka,53880,184800,130920
Malaysia,82530,184320,101790
Italy,250360,152560,-97800
Pakistan,8710,143920,135210
Indonesia,49020,128140,79120
Hong Kong,75960,128040,52080
Scotland,150110,125690,-24420
